Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.07121771] [0.10307427] 0.3368374840324953 [0.26467075]
x_err,y_err, velCond, z_err [0.08150481] [0.11273089] 0.40889767167659063 [0.27294366]
x_err,y_err, velCond, z_err [0.08250012] [0.11632515] 0.13425756720822382 [0.26907962]
x_err,y_err, velCond, z_err [0.08612291] [0.12040909] 0.1710863138500874 [0.27320632]
x_err,y_err, velCond, z_err [0.09027415] [0.12476096] 0.19765140154752356 [0.27833801]
x_err,y_err, velCond, z_err [0.08711132] [0.12705402] 0.24217634973564534 [0.26947362]
x_err,y_err, velCond, z_err [0.09074209] [0.1296229] 0.15057542199535795 [0.27353503]
x_err,y_err, velCond, z_err [0.09336189] [0.13245744] 0.15967604178653275 [0.27862387]
x_err,y_err, velCond, z_err [0.08920531] [0.1311585] 0.16576946631606734 [0.27362359]
x_err,y_err, velCond, z_err [0.08557932] [0.13165214] 0.13424395761346097 [0.26969386]
x_err,y_err, velCond, z_err [0.08195832] [0.13061011] 0.13730535509274816 [0.26569798]
x_err,y_err, velCond, z_err [0.08613065] [0.13269417] 0.23229842573584397 [0.27373468]
x_err,y_err, velCond, z_err [0.08250977] [0.13165214] 0.1373034222182499 [0.26973881]
x_err,y_err, velCond, z_err [0.07943998] [0.13165214] 0.07675290107726988 [0.26978377]
x_err,y_err, velCond, z_err [0.07069658] [0.12651444] 0.32449109156722317 [0.26168265]
x_err,y_err, velCond, z_err [0.07123216] [0.12602081] 0.10102947879296528 [0.26565765]
x_err,y_err, velCond, z_err [0.07022808] [0.12705402] 0.10777729599557627 [0.26972088]
x_err,y_err, velCond, z_err [0.0645788] [0.1234608] 0.2623354996787001 [0.26164089]
x_err,y_err, velCond, z_err [0.07023628] [0.12630019] 0.4548374365422111 [0.27869768]
x_err,y_err, velCond, z_err [0.06560999] [0.1232216] 0.13893446404347004 [0.278633]
x_err,y_err, velCond, z_err [0.05590844] [0.11837202] 0.4247969098755641 [0.26555303]
x_err,y_err, velCond, z_err [0.05437557] [0.11684219] 0.05415238031840162 [0.26550967]
x_err,y_err, velCond, z_err [0.05487299] [0.11632515] 0.10096968662753696 [0.26948422]
x_err,y_err, velCond, z_err [0.04824418] [0.11072311] 0.24048091334689423 [0.26533624]
x_err,y_err, velCond, z_err [0.03965286] [0.10645668] 0.4896275817609065 [0.24826103]
x_err,y_err, velCond, z_err [0.04216852] [0.10541807] 0.2095214616658739 [0.25618766]
