Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 75.5153839129832 [0.5]
x_err,y_err, velCond, z_err [0.03509822] [0.02949089] 0.11588405473256845 [0.14638044]
x_err,y_err, velCond, z_err [0.0422751] [0.02349134] 0.3103508027793252 [0.15454169]
x_err,y_err, velCond, z_err [0.04083575] [0.01985693] 0.2879403492068548 [0.14370772]
x_err,y_err, velCond, z_err [0.0517748] [0.01385208] 0.489988032676236 [0.1588213]
x_err,y_err, velCond, z_err [0.05325123] [0.01090705] 0.0824017182463231 [0.15892637]
x_err,y_err, velCond, z_err [0.05258567] [0.00879557] 0.11219017011483663 [0.15502287]
x_err,y_err, velCond, z_err [0.05620503] [0.00354446] 0.19059265699201192 [0.15919983]
x_err,y_err, velCond, z_err [0.04962696] [0.00378042] 0.40789857782686373 [0.14427055]
x_err,y_err, velCond, z_err [0.05553535] [0.00149144] 0.34192537735137873 [0.15542219]
x_err,y_err, velCond, z_err [0.05835627] [0.00762606] 0.2661486249903482 [0.16365293]
x_err,y_err, velCond, z_err [0.05553906] [0.00736976] 0.21161522258202428 [0.15567501]
x_err,y_err, velCond, z_err [0.06479393] [0.01466763] 0.5846538101308877 [0.17587403]
x_err,y_err, velCond, z_err [0.05192824] [0.01530376] 0.6767546438014486 [0.15206512]
x_err,y_err, velCond, z_err [0.05836464] [0.02090508] 0.3713500231118081 [0.16422404]
x_err,y_err, velCond, z_err [0.05407683] [0.02206553] 0.22648102568331094 [0.1563286]
x_err,y_err, velCond, z_err [0.05193379] [0.02410358] 0.12206474193613252 [0.15244358]
x_err,y_err, velCond, z_err [0.04979061] [0.02612985] 0.12195589268170894 [0.14855794]
x_err,y_err, velCond, z_err [0.04818556] [0.03129565] 0.1517912153018432 [0.14580055]
x_err,y_err, velCond, z_err [0.04604249] [0.03329405] 0.1216885359329192 [0.14191383]
x_err,y_err, velCond, z_err [0.04389941] [0.03528066] 0.12158047988519327 [0.13802647]
x_err,y_err, velCond, z_err [0.03961141] [0.03631927] 0.22622768483464478 [0.1301258]
x_err,y_err, velCond, z_err [0.03586138] [0.04045919] 0.21950630853716882 [0.1233515]
x_err,y_err, velCond, z_err [0.03157413] [0.04287923] 0.23146866130882524 [0.11551012]
x_err,y_err, velCond, z_err [0.03157594] [0.04575667] 0.07200241088867314 [0.11563387]
x_err,y_err, velCond, z_err [0.0957633] [0.06437586] 0.11700017361543211 [0.09550086]
x_err,y_err, velCond, z_err [0.5] [0.04597045] 0.3102127123271101 [0.10471816]
x_err,y_err, velCond, z_err [0.5] [0.05312384] 0.1790001988410933 [0.10502581]
x_err,y_err, velCond, z_err [0.5] [0.05598514] 0.0715985894203195 [0.10514887]
x_err,y_err, velCond, z_err [0.5] [0.0565347] 0.4229336598997448 [0.09027481]
x_err,y_err, velCond, z_err [0.5] [0.05837011] 0.12021863390752223 [0.08638096]
x_err,y_err, velCond, z_err [0.5] [0.05908774] 0.6894484355486841 [0.06156182]
x_err,y_err, velCond, z_err [0.5] [0.06188449] 0.06998330354690563 [0.0616821]
x_err,y_err, velCond, z_err [0.5] [0.06427144] 0.2042098728484191 [0.0548326]
x_err,y_err, velCond, z_err [0.5] [0.06861781] 0.2985795662812689 [0.04508784]
x_err,y_err, velCond, z_err [0.5] [0.0727755] 0.10403841733932603 [0.04526665]
x_err,y_err, velCond, z_err [0.5] [0.0755473] 0.0693589448928831 [0.04538586]
x_err,y_err, velCond, z_err [0.5] [0.07831909] 0.07755365626547549 [0.0455254]
x_err,y_err, velCond, z_err [0.5] [0.07921076] 0.23785219995363657 [0.03865189]
x_err,y_err, velCond, z_err [0.5] [0.08795645] 0.5003945603148026 [0.05597385]
x_err,y_err, velCond, z_err [0.5] [0.08663447] 0.34491695572123876 [0.04604563]
x_err,y_err, velCond, z_err [0.5] [0.08992617] 0.19781149580930207 [0.05318084]
x_err,y_err, velCond, z_err [0.5] [0.09079217] 0.3460197299166718 [0.04638704]
x_err,y_err, velCond, z_err [0.5] [0.09492262] 0.27575345452497924 [0.05655951]
x_err,y_err, velCond, z_err [0.5] [0.09824219] 0.19772425227525375 [0.06371747]
x_err,y_err, velCond, z_err [0.5] [0.10157199] 0.19790684192862604 [0.07087632]
x_err,y_err, velCond, z_err [0.5] [0.10906213] 0.5897770052856792 [0.09320017]
x_err,y_err, velCond, z_err [0.5] [0.10601886] 0.37735865823063125 [0.08220258]
x_err,y_err, velCond, z_err [0.5] [0.10548871] 0.2878618152859742 [0.07530741]
x_err,y_err, velCond, z_err [0.5] [0.10884198] 0.19843599433521036 [0.0824689]
x_err,y_err, velCond, z_err [0.5] [0.1083016] 0.34548351165417684 [0.07561402]
x_err,y_err, velCond, z_err [0.5] [0.11474072] 0.49085997184750557 [0.0938608]
x_err,y_err, velCond, z_err [0.5] [0.11616044] 0.11239493472218955 [0.09398432]
x_err,y_err, velCond, z_err [0.5] [0.11336409] 0.45935436043424843 [0.07899879]
x_err,y_err, velCond, z_err [0.5] [0.11899977] 0.4198150144784648 [0.09431464]
x_err,y_err, velCond, z_err [0.5] [0.11589998] 0.3967417879054398 [0.0833314]
x_err,y_err, velCond, z_err [0.5] [0.12183909] 0.31920013597541536 [0.09458249]
x_err,y_err, velCond, z_err [0.5] [0.12382195] 0.2077911601908497 [0.10172991]
x_err,y_err, velCond, z_err [0.5] [0.12183909] 0.2631158082814799 [0.09474905]
x_err,y_err, velCond, z_err [0.5] [0.12325869] 0.28656611924412884 [0.09497666]
x_err,y_err, velCond, z_err [0.5] [0.12154629] 0.38716679817471594 [0.08405038]
x_err,y_err, velCond, z_err [0.5] [0.12040738] 0.1842132641616557 [0.08008673]
x_err,y_err, velCond, z_err [0.5] [0.11981775] 0.2816848730932296 [0.07318419]
x_err,y_err, velCond, z_err [0.5] [0.11582119] 0.5709032721447658 [0.05925638]
x_err,y_err, velCond, z_err [0.5] [0.11435236] 0.35638308401307023 [0.04933119]
x_err,y_err, velCond, z_err [0.5] [0.11435236] 0.13879686594009374 [0.04941248]
x_err,y_err, velCond, z_err [0.5] [0.10971258] 0.6366366102058212 [0.02839041]
x_err,y_err, velCond, z_err [0.5] [0.1085648] 0.3670649544868449 [0.02454367]
x_err,y_err, velCond, z_err [0.5] [0.10834205] 0.1630307753515455 [0.02861285]
x_err,y_err, velCond, z_err [0.5] [0.10582969] 0.2756053684993126 [0.02464665]
x_err,y_err, velCond, z_err [0.5] [0.10446213] 0.208268455287347 [0.02470817]
x_err,y_err, velCond, z_err [0.5] [0.10286015] 0.16787457908537812 [0.02871876]
x_err,y_err, velCond, z_err [0.5] [0.0995919] 0.4298392474517609 [0.03182427]
x_err,y_err, velCond, z_err [0.5] [0.09209335] 0.6032574958514837 [0.01470766]
x_err,y_err, velCond, z_err [0.5] [0.08937295] 0.24791903765633924 [0.01473029]
x_err,y_err, velCond, z_err [0.5] [0.08503294] 0.4294388461748933 [0.01878385]
x_err,y_err, velCond, z_err [0.5] [0.08312783] 0.22788038731128452 [0.02182771]
x_err,y_err, velCond, z_err [0.5] [0.07713116] 0.3849918802111996 [0.01474239]
x_err,y_err, velCond, z_err [0.5] [0.06681055] 0.633374835671502 [0.0116312]
x_err,y_err, velCond, z_err [0.5] [0.06458587] 0.277430130968382 [0.01866411]
x_err,y_err, velCond, z_err [0.5] [0.05991707] 0.2818749220955057 [0.02161036]
x_err,y_err, velCond, z_err [0.5] [0.05841146] 0.3137062228765668 [0.03166365]
x_err,y_err, velCond, z_err [0.5] [0.0498183] 0.5669191109771229 [0.03559995]
x_err,y_err, velCond, z_err [0.5] [0.04506875] 0.2864251454200918 [0.03854522]
x_err,y_err, velCond, z_err [0.5] [0.04018896] 0.3336486998738895 [0.03550859]
x_err,y_err, velCond, z_err [0.5] [0.0364067] 0.7062323177982499 [0.05958002]
x_err,y_err, velCond, z_err [0.5] [0.0298128] 0.46816425237307513 [0.04949601]
x_err,y_err, velCond, z_err [0.5] [0.02637275] 0.2787397864496542 [0.05249998]
x_err,y_err, velCond, z_err [0.5] [0.02386764] 0.2920175773362504 [0.05953111]
x_err,y_err, velCond, z_err [0.5] [0.01456799] 0.7183091922224468 [0.04949074]
x_err,y_err, velCond, z_err [0.5] [0.01017296] 0.35916186695019003 [0.04246624]
x_err,y_err, velCond, z_err [0.5] [0.00418566] 0.5124256474057124 [0.02839417]
x_err,y_err, velCond, z_err [0.5] [0.00373419] 0.32574366871175786 [0.03850524]
x_err,y_err, velCond, z_err [0.5] [0.00266677] 0.6244209045673985 [0.02854163]
x_err,y_err, velCond, z_err [0.5] [0.00494129] 0.28970781125042 [0.02459564]
x_err,y_err, velCond, z_err [0.5] [0.00335921] 0.26790832398549214 [0.03178507]
x_err,y_err, velCond, z_err [0.5] [0.01216726] 0.9842688930545462 [0.00477745]
x_err,y_err, velCond, z_err [0.5] [0.01126908] 0.23818355157759458 [0.00894506]
x_err,y_err, velCond, z_err [0.5] [0.0162114] 0.40781715718839395 [0.00110415]
x_err,y_err, velCond, z_err [0.5] [0.01487298] 0.31293983361113425 [0.00511741]
x_err,y_err, velCond, z_err [0.5] [0.01893152] 0.5513878551461496 [0.0052603]
x_err,y_err, velCond, z_err [0.5] [0.01874341] 0.3224742963860435 [0.01243269]
x_err,y_err, velCond, z_err [0.5] [0.02010144] 0.27411955596903775 [0.01253361]
x_err,y_err, velCond, z_err [0.5] [0.02299013] 0.359920954821006 [0.00558175]
x_err,y_err, velCond, z_err [0.5] [0.02281743] 0.5732960790812308 [0.01291469]
x_err,y_err, velCond, z_err [0.5] [0.0241754] 0.30788817546510333 [0.01303553]
x_err,y_err, velCond, z_err [0.5] [0.0268914] 0.31346278934705796 [0.01309796]
x_err,y_err, velCond, z_err [0.5] [0.02889444] 0.33046160300727817 [0.01019525]
x_err,y_err, velCond, z_err [0.5] [0.02896461] 0.35145445916364926 [0.01638321]
x_err,y_err, velCond, z_err [0.5] [0.03229211] 0.6673281571057291 [0.02660818]
x_err,y_err, velCond, z_err [0.5] [0.03492327] 0.3974159725405492 [0.02070156]
x_err,y_err, velCond, z_err [0.5] [0.03502726] 0.326254419624306 [0.0268716]
x_err,y_err, velCond, z_err [0.5] [0.0383875] 0.3689872394175189 [0.02393008]
x_err,y_err, velCond, z_err [0.5] [0.04256669] 0.6978165540366578 [0.01713472]
